District,year,month,mean
Gumla,2016,1,3.6697078213289074
Jamtara,2016,1,3.4742620662413612
Latehar,2016,1,3.570071938034272
Palamu,2016,1,3.8712088953755206
Pashchim Singhbhum,2016,1,2.426383657864066
Seraikela_Kharsawan,2016,1,2.7130292776598157
Simdega,2016,1,2.994951832297865
Deoghar,2016,1,2.5043669630579273
Godda,2016,1,3.539544585191361
Lohardaga,2016,1,2.999885444264663
Ranchi,2016,1,3.4020814695029284
Dhanbad,2016,1,3.3095007887596046
Purba Singhbhum,2016,2,2.624544862521178
Bokaro,2016,2,3.1412781382940205
Chatra,2016,2,2.8163933418853464
Garhwa,2016,2,2.8473681314754944
Giridih,2016,2,2.6799925305517016
Hazaribag,2016,2,2.6625656192637166
Koderma,2016,2,3.8740391066416446
Pakur,2016,2,3.0378534859186694
Sahibganj,2016,2,2.388380764916064
Dumka,2016,2,2.654908971548599
Gumla,2016,2,2.755267204696612
Jamtara,2016,2,2.94231432822209
Latehar,2016,2,2.6368267383125743
Palamu,2016,2,2.6659351822623467
Pashchim Singhbhum,2016,2,2.6363532869628403
Seraikela_Kharsawan,2016,2,2.3577002843534043
Simdega,2016,2,2.6133933291384888
Deoghar,2016,2,2.3170564026945315
Godda,2016,2,3.0073780116830044
Lohardaga,2016,2,2.313080203818362
Ranchi,2016,2,2.6916058961404374
Dhanbad,2016,2,2.754009204998709
Purba Singhbhum,2016,3,2.132113558003993
Bokaro,2016,3,2.865891087891398
Chatra,2016,3,3.1242407140778776
Garhwa,2016,3,3.9980976609979018
Giridih,2016,3,2.388938660508563
Hazaribag,2016,3,2.978559569402222
Koderma,2016,3,3.2632032603250494
Pakur,2016,3,2.566828746435389
Sahibganj,2016,3,2.4189336111266657
Dumka,2016,3,2.126630168257145
Gumla,2016,3,3.3522823081507216
Jamtara,2016,3,2.474965511034752
Latehar,2016,3,3.770205962395864
Palamu,2016,3,3.46003915136639
Pashchim Singhbhum,2016,3,2.2358196663825574
Seraikela_Kharsawan,2016,3,2.1726317120589234
Simdega,2016,3,2.6045110208895426
Deoghar,2016,3,2.0631331800196646
Godda,2016,3,2.253799853364808
Lohardaga,2016,3,3.1490316910036453
Ranchi,2016,3,2.7136355173658213
Dhanbad,2016,3,2.5758064535737324
Purba Singhbhum,2016,4,2.045600752515472
Bokaro,2016,4,2.365358600334353
Chatra,2016,4,2.319053839002285
Garhwa,2016,4,2.256795669562766
Giridih,2016,4,1.9541404860309344
Hazaribag,2016,4,2.0821676585144138
Koderma,2016,4,2.0356322232123465
Pakur,2016,4,2.4734394592789894
Sahibganj,2016,4,2.2200447792704168
Dumka,2016,4,2.0518269336799206
Gumla,2016,4,2.179996623829252
Jamtara,2016,4,2.3177301688623486
Latehar,2016,4,2.2272634999446783
Palamu,2016,4,2.2324931604476643
Pashchim Singhbhum,2016,4,1.9721442045018087
Seraikela_Kharsawan,2016,4,2.0849918597874297
Simdega,2016,4,2.3619304386383098
Deoghar,2016,4,1.8860526605614147
Godda,2016,4,2.1545553971685094
Lohardaga,2016,4,1.9952565217417395
Ranchi,2016,4,1.9476297015860837
Dhanbad,2016,4,2.3438298058787725
Purba Singhbhum,2016,5,3.3190746393116073
Bokaro,2016,5,2.6848556430590973
Chatra,2016,5,2.49635985473901
