District,year,month,mean
Gumla,2013,6,0.1282586326711809
Jamtara,2013,6,1.2670408357882412
Latehar,2013,6,0.08014370046898152
Palamu,2013,6,0.4096621911862418
Pashchim Singhbhum,2013,6,0.08234226697349394
Seraikela_Kharsawan,2013,6,2.4958303986497588
Simdega,2013,6,0.16546956954579167
Deoghar,2013,6,0.13479627108181655
Godda,2013,6,0.0
Lohardaga,2013,6,0.11193176140158947
Ranchi,2013,6,0.15011770077666625
Dhanbad,2013,6,1.6447093997620288
Purba Singhbhum,2013,7,0.37618492958442773
Bokaro,2013,7,2.57280080392458E-4
Chatra,2013,7,0.009134956401053204
Garhwa,2013,7,0.20879203182831302
Giridih,2013,7,0.0025659898743764223
Hazaribag,2013,7,0.02565828151306244
Koderma,2013,7,3.082361862121862E-4
Pakur,2013,7,0.17145219720696106
Sahibganj,2013,7,4.7934935700222425
Dumka,2013,7,0.5287934811646758
Gumla,2013,7,0.0014589873875421708
Jamtara,2013,7,1.1301271411867575
Latehar,2013,7,0.02180985239985913
Palamu,2013,7,0.43132045302482386
Pashchim Singhbhum,2013,7,0.005347699439931353
Seraikela_Kharsawan,2013,7,0.09465550198510844
Simdega,2013,7,0.007744363701716572
Deoghar,2013,7,0.1838815429270036
Godda,2013,7,0.04029490441266213
Lohardaga,2013,7,0.0010409708598287813
Ranchi,2013,7,0.0018603986217234174
Dhanbad,2013,7,0.8650076526027815
Purba Singhbhum,2013,8,0.8781974212973124
Bokaro,2013,8,1.67015331622673
Chatra,2013,8,0.10934773768985454
Garhwa,2013,8,0.762431476142214
Giridih,2013,8,0.33362707438593636
Hazaribag,2013,8,0.8000027540627331
Koderma,2013,8,0.1996132706832687
Pakur,2013,8,0.3893305133423098
Sahibganj,2013,8,8.638302564919021
Dumka,2013,8,0.8291428065334431
Gumla,2013,8,0.2606954197705702
Jamtara,2013,8,1.8543282355531587
Latehar,2013,8,0.09672841480413552
Palamu,2013,8,1.0711136979836458
Pashchim Singhbhum,2013,8,0.13403076722497906
Seraikela_Kharsawan,2013,8,2.967383700637288
Simdega,2013,8,0.3276168263121726
Deoghar,2013,8,0.5737596020400336
Godda,2013,8,0.04607281463629889
Lohardaga,2013,8,0.2982146247549497
Ranchi,2013,8,0.38943787816742703
Dhanbad,2013,8,2.5882112497102843
Purba Singhbhum,2013,9,0.9262506857837847
Bokaro,2013,9,1.7346428384954558
Chatra,2013,9,0.09539476558935633
Garhwa,2013,9,1.0157432768446408
Giridih,2013,9,0.24423865234850164
Hazaribag,2013,9,1.051897837207171
Koderma,2013,9,0.11169995880586552
Pakur,2013,9,0.37441727082823645
Sahibganj,2013,9,9.203455513310871
Dumka,2013,9,1.1806958476100773
Gumla,2013,9,0.35074960194276966
Jamtara,2013,9,1.674347461226655
Latehar,2013,9,0.2001787111568938
Palamu,2013,9,1.0822801568831555
Pashchim Singhbhum,2013,9,0.2638554050437212
Seraikela_Kharsawan,2013,9,3.226208272996629
Simdega,2013,9,0.4363034636201054
Deoghar,2013,9,0.3293597658314479
Godda,2013,9,0.13772850124218666
Lohardaga,2013,9,0.28013073717392417
Ranchi,2013,9,0.4917175464533639
Dhanbad,2013,9,2.272967434809872
Purba Singhbhum,2013,10,1.039154711551666
Bokaro,2013,10,1.2942238463938145
Chatra,2013,10,0.11234522924425595
Garhwa,2013,10,0.8878078436457467
Giridih,2013,10,0.2750702048195934
Hazaribag,2013,10,1.0572262524716942
Koderma,2013,10,0.1965011730949476
Pakur,2013,10,0.9613089400193986
Sahibganj,2013,10,5.6777114290887125
Dumka,2013,10,1.7655596830065918
Gumla,2013,10,0.10280829156631369
Jamtara,2013,10,2.4922539284359226
Latehar,2013,10,0.08395061694498437
Palamu,2013,10,0.6617567168667221
Pashchim Singhbhum,2013,10,0.17683845346429047
Seraikela_Kharsawan,2013,10,2.3750289645460283
Simdega,2013,10,0.20676283333629883
Deoghar,2013,10,0.6900471095888672
Godda,2013,10,0.17502060464906777
Lohardaga,2013,10,0.015778926717404683
Ranchi,2013,10,0.5001220021287691
Dhanbad,2013,10,3.207006308411324
Purba Singhbhum,2013,11,1.0648096818165678
