District,year,month,mean
Koderma,2015,5,0.02283105940751916
Pakur,2015,5,0.049778652447360565
Sahibganj,2015,5,0.04192866973173146
Dumka,2015,5,0.04281141423372559
Gumla,2015,5,0.0225390590852353
Jamtara,2015,5,0.03679614554692105
Latehar,2015,5,0.02241956856081122
Palamu,2015,5,0.022339699470187
Pashchim Singhbhum,2015,5,0.02250922605680734
Seraikela_Kharsawan,2015,5,0.024203071074852967
Simdega,2015,5,0.024843408543002436
Deoghar,2015,5,0.027297153021081173
Godda,2015,5,0.04939030274341615
Lohardaga,2015,5,0.020461968239699833
Ranchi,2015,5,0.022631016832054242
Dhanbad,2015,5,0.03595360192118093
Purba Singhbhum,2015,6,0.09912886666196656
Bokaro,2015,6,0.11629769419766758
Chatra,2015,6,0.07952355239445068
Garhwa,2015,6,0.072482040881484
Giridih,2015,6,0.08891636835749443
Hazaribag,2015,6,0.09568730507082965
Koderma,2015,6,0.0836709342612418
Pakur,2015,6,0.14031125715834025
Sahibganj,2015,6,0.1289831728724714
Dumka,2015,6,0.12028250461420852
Gumla,2015,6,0.0928539856070737
Jamtara,2015,6,0.11419869586501816
Latehar,2015,6,0.09611316774411179
Palamu,2015,6,0.06541588670589107
