District,year,mean
Deoghar,2016,1.0722046556809597
Godda,2016,0.3873702100922567
Lohardaga,2016,0.3365704123995132
Ranchi,2016,0.8840535223026676
Dhanbad,2016,3.3135471302255857
Purba Singhbhum,2017,1.7892654556876424
Bokaro,2017,2.036643794708693
Chatra,2017,0.2043192672414842
Garhwa,2017,0.0989625801164102
Giridih,2017,0.5176957568016828
Hazaribag,2017,1.2458771578878656
Koderma,2017,0.7862211769413184
Pakur,2017,0.403075468936994
Sahibganj,2017,0.4625561639512097
Dumka,2017,0.3504562528685164
Gumla,2017,0.0958148674170641
Jamtara,2017,0.6976489186403985
Latehar,2017,0.1555990828931424
Palamu,2017,0.3867664630214701
Pashchim Singhbhum,2017,0.3996478509485555
Seraikela_Kharsawan,2017,1.165443174148186
Simdega,2017,0.030993407948931
Deoghar,2017,1.340983608148551
Godda,2017,0.5494191109591162
Lohardaga,2017,0.4599052131578608
Ranchi,2017,1.0497129453933836
Dhanbad,2017,3.451832018716168
Purba Singhbhum,2018,1.8111111829017388
Bokaro,2018,1.9932888383608247
Chatra,2018,0.2635242873102779
Garhwa,2018,0.0967412382778125
Giridih,2018,0.5405465983777495
Hazaribag,2018,1.2495731414259308
Koderma,2018,0.8062672422417559
Pakur,2018,0.3722878250624937
Sahibganj,2018,0.4903474072793576
Dumka,2018,0.4181249124107155
Gumla,2018,0.0913682292258569
Jamtara,2018,0.70031319766298
Latehar,2018,0.1746757250922213
Palamu,2018,0.4326513117058598
Pashchim Singhbhum,2018,0.3748179527413475
Seraikela_Kharsawan,2018,1.219750749788869
Simdega,2018,0.043768009858552
Deoghar,2018,1.450958731398594
Godda,2018,0.634531673198229
Lohardaga,2018,0.4790844246131751
Ranchi,2018,1.1181199429098938
Dhanbad,2018,3.4053564809121064
Purba Singhbhum,2019,1.687581481246624
Bokaro,2019,1.877588996041097
Chatra,2019,0.2716950554829304
Garhwa,2019,0.0836170693640937
Giridih,2019,0.5430646053944972
Hazaribag,2019,1.1689606924828604
Koderma,2019,0.9033200215756952
Pakur,2019,0.4124694518751443
Sahibganj,2019,0.5520236547055578
Dumka,2019,0.4204124966201397
Gumla,2019,0.0972837627672471
Jamtara,2019,0.6831751952786231
Latehar,2019,0.1715381401654771
Palamu,2019,0.4307390697766913
Pashchim Singhbhum,2019,0.3639308094423011
Seraikela_Kharsawan,2019,1.2329628189666524
Simdega,2019,0.0637106527841607
Deoghar,2019,1.394398778869952
Godda,2019,0.7086319843351928
Lohardaga,2019,0.4577302177999964
Ranchi,2019,1.0387125943687496
Dhanbad,2019,3.1371639077491795
Purba Singhbhum,2020,2.0258084133601884
Bokaro,2020,2.204356273447324
Chatra,2020,0.3568995003150357
Garhwa,2020,0.1439294099388648
Giridih,2020,0.7012655670330886
Hazaribag,2020,1.4003261391983328
Koderma,2020,1.0469279103695086
Pakur,2020,0.4987879548229127
Sahibganj,2020,0.699291322887159
Dumka,2020,0.5462402485534
Gumla,2020,0.1428536925580732
Jamtara,2020,0.8824721209731493
Latehar,2020,0.2471146706215842
Palamu,2020,0.5768089329756056
Pashchim Singhbhum,2020,0.4920938134157585
Seraikela_Kharsawan,2020,1.4529207751724076
Simdega,2020,0.0872623034665795
Deoghar,2020,1.6566178377634655
Godda,2020,1.012468186502256
Lohardaga,2020,0.5816247527038909
Ranchi,2020,1.2680901231979114
Dhanbad,2020,3.556594261084548
Purba Singhbhum,2021,1.833734824080612
Bokaro,2021,1.9588081544889355
Chatra,2021,0.3636744168551764
Garhwa,2021,0.2796608705245654
Giridih,2021,0.7607119749217128
Hazaribag,2021,1.384966298687345
Koderma,2021,0.9984401957559952
Pakur,2021,0.5334968473058023
Sahibganj,2021,0.7156030016289725
Dumka,2021,0.5191930271325614
Gumla,2021,0.1609100282153282
Jamtara,2021,0.8433921540282626
Latehar,2021,0.2625937130690506
Palamu,2021,0.674237242273611
Pashchim Singhbhum,2021,0.4757918271015278
Seraikela_Kharsawan,2021,1.378888534650368
Simdega,2021,0.098714963665431
Deoghar,2021,1.536986962599674
Godda,2021,1.03654935420926
Lohardaga,2021,0.5481744914085411
Ranchi,2021,1.2731288035671735
Dhanbad,2021,3.1955786674298987
Purba Singhbhum,2022,
Bokaro,2022,
Chatra,2022,
Garhwa,2022,
Giridih,2022,
Hazaribag,2022,
Koderma,2022,
Pakur,2022,
Sahibganj,2022,
Dumka,2022,
Gumla,2022,
Jamtara,2022,
Latehar,2022,
Palamu,2022,
Pashchim Singhbhum,2022,
Seraikela_Kharsawan,2022,
Simdega,2022,
Deoghar,2022,
Godda,2022,
Lohardaga,2022,
Ranchi,2022,
Dhanbad,2022,
Purba Singhbhum,2023,
Bokaro,2023,
Chatra,2023,
Garhwa,2023,
Giridih,2023,
Hazaribag,2023,
Koderma,2023,
Pakur,2023,
Sahibganj,2023,
Dumka,2023,
Gumla,2023,
Jamtara,2023,
Latehar,2023,
Palamu,2023,
Pashchim Singhbhum,2023,
Seraikela_Kharsawan,2023,
Simdega,2023,
Deoghar,2023,
Godda,2023,
Lohardaga,2023,
Ranchi,2023,
Dhanbad,2023,
